Название,Тип,Широта,Долгота,Описание,Местоположение
АО «121 АРЗ»,repairFactory ,55.755863,37.617700,Авиаремонтный завод,Московская область
ОАО «170 РЗ СОП»,repairFactory ,56.326799,44.006520,Авиаремонтный завод,Нижегородская область
АО «123 АРЗ»,repairFactory ,57.990720,31.355461,Авиаремонтный завод,Новгородская область (г. Старая Русса)
ОАО «32 РЗ СОП»,repairFactory ,44.597647,132.817568,Авиаремонтный завод,Приморский край (г. Спасск-Дальний)
ОАО «322 АРЗ»,repairFactory ,43.892280,131.947343,Авиаремонтный завод,Приморский край (Уссурийский район
ОАО «31 ЗАТО»,repairFactory ,47.422052,40.093734,Авиаремонтный завод,Ростовская область (г. Новочерскасск)
ОАО «325 АРЗ»,repairFactory ,47.208735,38.936694,Авиаремонтный завод,Ростовская область (г. Таганрог)
АО «360 АРЗ»,repairFactory ,54.629565,39.741917,Авиаремонтный завод,Рязанская область (г. Рязань)
ОАО «720 РЗ СОП»,repairFactory ,53.947229,32.857498,Авиаремонтный завод,Смоленская область (г. Рославль)
АО «514 АРЗ»,repairFactory ,56.859626,35.911856,Авиаремонтный завод,Тверская область (г. Ржев-3)
